lambda nm,X,Y,Z
402.8,3.44E-02,3.69E-03,1.71E-01
402.9,3.49E-02,3.75E-03,1.74E-01
403,3.54E-02,3.80E-03,1.76E-01
403.1,3.60E-02,3.85E-03,1.79E-01
403.2,3.65E-02,3.90E-03,1.82E-01
403.3,3.71E-02,3.96E-03,1.85E-01
403.4,3.76E-02,4.01E-03,1.87E-01
403.5,3.82E-02,4.07E-03,1.90E-01
403.6,3.88E-02,4.12E-03,1.93E-01
403.7,3.93E-02,4.18E-03,1.96E-01
403.8,3.99E-02,4.24E-03,1.99E-01
403.9,4.05E-02,4.29E-03,2.02E-01
404,4.11E-02,4.35E-03,2.05E-01
404.1,4.17E-02,4.41E-03,2.08E-01
404.2,4.23E-02,4.47E-03,2.11E-01
404.3,4.29E-02,4.53E-03,2.14E-01
404.4,4.35E-02,4.59E-03,2.17E-01
404.5,4.42E-02,4.65E-03,2.20E-01
404.6,4.48E-02,4.72E-03,2.24E-01
404.7,4.55E-02,4.78E-03,2.27E-01
404.8,4.61E-02,4.84E-03,2.30E-01
404.9,4.68E-02,4.91E-03,2.34E-01
405,4.74E-02,4.97E-03,2.37E-01
405.1,4.81E-02,5.04E-03,2.40E-01
405.2,4.88E-02,5.10E-03,2.44E-01
405.3,4.95E-02,5.17E-03,2.47E-01
405.4,5.02E-02,5.24E-03,2.51E-01
405.5,5.09E-02,5.31E-03,2.54E-01
405.6,5.16E-02,5.38E-03,2.58E-01
405.7,5.23E-02,5.45E-03,2.61E-01
405.8,5.30E-02,5.52E-03,2.65E-01
405.9,5.37E-02,5.59E-03,2.69E-01
406,5.45E-02,5.66E-03,2.73E-01
406.1,5.52E-02,5.73E-03,2.76E-01
406.2,5.60E-02,5.81E-03,2.80E-01
406.3,5.67E-02,5.88E-03,2.84E-01
406.4,5.75E-02,5.96E-03,2.88E-01
406.5,5.83E-02,6.03E-03,2.92E-01
406.6,5.90E-02,6.11E-03,2.96E-01
406.7,5.98E-02,6.19E-03,3.00E-01
406.8,6.06E-02,6.26E-03,3.04E-01
