lambda nm,X,Y,Z
446,3.39E-01,5.89E-02,1.91E+00
446.1,3.39E-01,5.90E-02,1.91E+00
446.2,3.38E-01,5.91E-02,1.91E+00
446.3,3.38E-01,5.93E-02,1.91E+00
446.4,3.38E-01,5.94E-02,1.91E+00
446.5,3.38E-01,5.96E-02,1.91E+00
446.6,3.37E-01,5.97E-02,1.91E+00
446.7,3.37E-01,5.99E-02,1.90E+00
446.8,3.37E-01,6.00E-02,1.90E+00
446.9,3.36E-01,6.02E-02,1.90E+00
447,3.36E-01,6.03E-02,1.90E+00
447.1,3.36E-01,6.05E-02,1.90E+00
447.2,3.35E-01,6.06E-02,1.90E+00
447.3,3.35E-01,6.08E-02,1.90E+00
447.4,3.35E-01,6.09E-02,1.90E+00
447.5,3.34E-01,6.10E-02,1.90E+00
447.6,3.34E-01,6.12E-02,1.89E+00
447.7,3.34E-01,6.13E-02,1.89E+00
447.8,3.33E-01,6.15E-02,1.89E+00
447.9,3.33E-01,6.16E-02,1.89E+00
448,3.32E-01,6.18E-02,1.89E+00
448.1,3.32E-01,6.19E-02,1.89E+00
448.2,3.32E-01,6.21E-02,1.89E+00
448.3,3.31E-01,6.22E-02,1.88E+00
448.4,3.31E-01,6.24E-02,1.88E+00
448.5,3.30E-01,6.25E-02,1.88E+00
448.6,3.30E-01,6.27E-02,1.88E+00
448.7,3.29E-01,6.28E-02,1.88E+00
448.8,3.29E-01,6.30E-02,1.88E+00
448.9,3.29E-01,6.31E-02,1.87E+00
449,3.28E-01,6.33E-02,1.87E+00
449.1,3.28E-01,6.34E-02,1.87E+00
449.2,3.27E-01,6.36E-02,1.87E+00
449.3,3.26E-01,6.37E-02,1.87E+00
449.4,3.26E-01,6.39E-02,1.86E+00
449.5,3.25E-01,6.40E-02,1.86E+00
449.6,3.25E-01,6.41E-02,1.86E+00
449.7,3.24E-01,6.43E-02,1.86E+00
449.8,3.24E-01,6.44E-02,1.85E+00
449.9,3.23E-01,6.46E-02,1.85E+00
450,3.22E-01,6.47E-02,1.85E+00
450.1,3.22E-01,6.49E-02,1.85E+00
450.2,3.21E-01,6.50E-02,1.84E+00
450.3,3.21E-01,6.52E-02,1.84E+00
450.4,3.20E-01,6.53E-02,1.84E+00
450.5,3.19E-01,6.54E-02,1.83E+00
450.6,3.18E-01,6.56E-02,1.83E+00
450.7,3.18E-01,6.57E-02,1.83E+00
450.8,3.17E-01,6.59E-02,1.82E+00
450.9,3.16E-01,6.60E-02,1.82E+00
451,3.16E-01,6.61E-02,1.82E+00
451.1,3.15E-01,6.63E-02,1.81E+00
451.2,3.14E-01,6.64E-02,1.81E+00
451.3,3.13E-01,6.66E-02,1.81E+00
451.4,3.13E-01,6.67E-02,1.80E+00
451.5,3.12E-01,6.69E-02,1.80E+00
451.6,3.11E-01,6.70E-02,1.80E+00
451.7,3.10E-01,6.71E-02,1.79E+00
451.8,3.09E-01,6.73E-02,1.79E+00
451.9,3.09E-01,6.74E-02,1.79E+00
452,3.08E-01,6.76E-02,1.78E+00
452.1,3.07E-01,6.77E-02,1.78E+00
452.2,3.06E-01,6.79E-02,1.77E+00
452.3,3.05E-01,6.80E-02,1.77E+00
452.4,3.05E-01,6.82E-02,1.77E+00
452.5,3.04E-01,6.83E-02,1.76E+00
452.6,3.03E-01,6.84E-02,1.76E+00
452.7,3.02E-01,6.86E-02,1.75E+00
452.8,3.01E-01,6.87E-02,1.75E+00
452.9,3.00E-01,6.89E-02,1.75E+00
453,2.99E-01,6.90E-02,1.74E+00
453.1,2.99E-01,6.92E-02,1.74E+00
453.2,2.98E-01,6.94E-02,1.73E+00
453.3,2.97E-01,6.95E-02,1.73E+00
453.4,2.96E-01,6.97E-02,1.73E+00
453.5,2.95E-01,6.98E-02,1.72E+00
453.6,2.94E-01,7.00E-02,1.72E+00
453.7,2.94E-01,7.01E-02,1.71E+00
453.8,2.93E-01,7.03E-02,1.71E+00
453.9,2.92E-01,7.05E-02,1.71E+00
454,2.91E-01,7.06E-02,1.70E+00
454.1,2.90E-01,7.08E-02,1.70E+00
454.2,2.89E-01,7.10E-02,1.69E+00
454.3,2.88E-01,7.11E-02,1.69E+00
454.4,2.88E-01,7.13E-02,1.69E+00
454.5,2.87E-01,7.15E-02,1.68E+00
454.6,2.86E-01,7.17E-02,1.68E+00
454.7,2.85E-01,7.18E-02,1.68E+00
454.8,2.84E-01,7.20E-02,1.67E+00
454.9,2.83E-01,7.22E-02,1.67E+00
455,2.83E-01,7.24E-02,1.66E+00
455.1,2.82E-01,7.26E-02,1.66E+00
455.2,2.81E-01,7.28E-02,1.66E+00
455.3,2.80E-01,7.30E-02,1.65E+00
455.4,2.79E-01,7.31E-02,1.65E+00
455.5,2.79E-01,7.33E-02,1.65E+00
455.6,2.78E-01,7.35E-02,1.64E+00
455.7,2.77E-01,7.37E-02,1.64E+00
455.8,2.76E-01,7.39E-02,1.64E+00
455.9,2.76E-01,7.42E-02,1.63E+00
456,2.75E-01,7.44E-02,1.63E+00
456.1,2.74E-01,7.46E-02,1.63E+00
456.2,2.73E-01,7.48E-02,1.62E+00
456.3,2.73E-01,7.50E-02,1.62E+00
456.4,2.72E-01,7.52E-02,1.62E+00
456.5,2.71E-01,7.54E-02,1.61E+00
456.6,2.70E-01,7.57E-02,1.61E+00
456.7,2.70E-01,7.59E-02,1.61E+00
456.8,2.69E-01,7.61E-02,1.60E+00
456.9,2.68E-01,7.64E-02,1.60E+00
457,2.67E-01,7.66E-02,1.60E+00
457.1,2.67E-01,7.68E-02,1.59E+00
457.2,2.66E-01,7.71E-02,1.59E+00
457.3,2.65E-01,7.73E-02,1.59E+00
457.4,2.65E-01,7.76E-02,1.59E+00
457.5,2.64E-01,7.78E-02,1.58E+00
457.6,2.63E-01,7.81E-02,1.58E+00
457.7,2.63E-01,7.83E-02,1.58E+00
457.8,2.62E-01,7.86E-02,1.57E+00
457.9,2.61E-01,7.88E-02,1.57E+00
458,2.61E-01,7.91E-02,1.57E+00
458.1,2.60E-01,7.94E-02,1.57E+00
458.2,2.59E-01,7.97E-02,1.56E+00
458.3,2.59E-01,7.99E-02,1.56E+00
458.4,2.58E-01,8.02E-02,1.56E+00
458.5,2.57E-01,8.05E-02,1.56E+00
458.6,2.57E-01,8.08E-02,1.55E+00
458.7,2.56E-01,8.11E-02,1.55E+00
458.8,2.55E-01,8.14E-02,1.55E+00
458.9,2.55E-01,8.17E-02,1.55E+00
459,2.54E-01,8.20E-02,1.54E+00
459.1,2.54E-01,8.23E-02,1.54E+00
459.2,2.53E-01,8.26E-02,1.54E+00
459.3,2.52E-01,8.29E-02,1.54E+00
459.4,2.52E-01,8.32E-02,1.53E+00
459.5,2.51E-01,8.35E-02,1.53E+00
459.6,2.51E-01,8.38E-02,1.53E+00
459.7,2.50E-01,8.41E-02,1.53E+00
459.8,2.50E-01,8.45E-02,1.53E+00
459.9,2.49E-01,8.48E-02,1.52E+00
460,2.49E-01,8.51E-02,1.52E+00
460.1,2.48E-01,8.55E-02,1.52E+00
460.2,2.47E-01,8.58E-02,1.52E+00
460.3,2.47E-01,8.62E-02,1.52E+00
460.4,2.46E-01,8.65E-02,1.51E+00
460.5,2.46E-01,8.69E-02,1.51E+00
460.6,2.45E-01,8.73E-02,1.51E+00
460.7,2.45E-01,8.76E-02,1.51E+00
460.8,2.44E-01,8.80E-02,1.51E+00
460.9,2.44E-01,8.84E-02,1.51E+00
461,2.43E-01,8.87E-02,1.50E+00
461.1,2.43E-01,8.91E-02,1.50E+00
461.2,2.42E-01,8.95E-02,1.50E+00
461.3,2.42E-01,8.99E-02,1.50E+00
461.4,2.41E-01,9.03E-02,1.50E+00
461.5,2.41E-01,9.07E-02,1.50E+00
461.6,2.40E-01,9.10E-02,1.49E+00
461.7,2.40E-01,9.14E-02,1.49E+00
461.8,2.39E-01,9.18E-02,1.49E+00
461.9,2.39E-01,9.23E-02,1.49E+00
462,2.38E-01,9.27E-02,1.49E+00
462.1,2.38E-01,9.31E-02,1.48E+00
462.2,2.37E-01,9.35E-02,1.48E+00
462.3,2.37E-01,9.39E-02,1.48E+00
462.4,2.36E-01,9.43E-02,1.48E+00
462.5,2.36E-01,9.47E-02,1.48E+00
462.6,2.35E-01,9.52E-02,1.48E+00
462.7,2.35E-01,9.56E-02,1.47E+00
462.8,2.34E-01,9.60E-02,1.47E+00
462.9,2.34E-01,9.65E-02,1.47E+00
463,2.33E-01,9.69E-02,1.47E+00
463.1,2.33E-01,9.73E-02,1.47E+00
463.2,2.32E-01,9.78E-02,1.47E+00
463.3,2.32E-01,9.82E-02,1.46E+00
463.4,2.31E-01,9.87E-02,1.46E+00
463.5,2.31E-01,9.91E-02,1.46E+00
463.6,2.30E-01,9.96E-02,1.46E+00
463.7,2.30E-01,1.00E-01,1.46E+00
463.8,2.29E-01,1.00E-01,1.45E+00
463.9,2.29E-01,1.01E-01,1.45E+00
464,2.28E-01,1.01E-01,1.45E+00
464.1,2.27E-01,1.02E-01,1.45E+00
464.2,2.27E-01,1.02E-01,1.45E+00
464.3,2.26E-01,1.03E-01,1.44E+00
464.4,2.26E-01,1.03E-01,1.44E+00
464.5,2.25E-01,1.04E-01,1.44E+00
464.6,2.24E-01,1.04E-01,1.44E+00
464.7,2.24E-01,1.05E-01,1.44E+00
464.8,2.23E-01,1.05E-01,1.43E+00
464.9,2.23E-01,1.06E-01,1.43E+00
465,2.22E-01,1.06E-01,1.43E+00
465.1,2.21E-01,1.06E-01,1.43E+00
465.2,2.21E-01,1.07E-01,1.42E+00
465.3,2.20E-01,1.07E-01,1.42E+00
465.4,2.19E-01,1.08E-01,1.42E+00
465.5,2.19E-01,1.08E-01,1.42E+00
465.6,2.18E-01,1.09E-01,1.41E+00
465.7,2.17E-01,1.09E-01,1.41E+00
465.8,2.17E-01,1.10E-01,1.41E+00
465.9,2.16E-01,1.10E-01,1.40E+00
466,2.15E-01,1.11E-01,1.40E+00
466.1,2.14E-01,1.11E-01,1.40E+00
466.2,2.14E-01,1.12E-01,1.40E+00
466.3,2.13E-01,1.12E-01,1.39E+00
466.4,2.12E-01,1.13E-01,1.39E+00
466.5,2.11E-01,1.13E-01,1.39E+00
466.6,2.11E-01,1.14E-01,1.38E+00
466.7,2.10E-01,1.14E-01,1.38E+00
466.8,2.09E-01,1.15E-01,1.38E+00
466.9,2.08E-01,1.15E-01,1.37E+00
467,2.08E-01,1.16E-01,1.37E+00
467.1,2.07E-01,1.16E-01,1.37E+00
467.2,2.06E-01,1.16E-01,1.36E+00
467.3,2.05E-01,1.17E-01,1.36E+00
467.4,2.04E-01,1.17E-01,1.36E+00
467.5,2.03E-01,1.18E-01,1.35E+00
467.6,2.03E-01,1.18E-01,1.35E+00
467.7,2.02E-01,1.19E-01,1.35E+00
467.8,2.01E-01,1.19E-01,1.34E+00
467.9,2.00E-01,1.20E-01,1.34E+00
468,1.99E-01,1.20E-01,1.33E+00
468.1,1.98E-01,1.21E-01,1.33E+00
468.2,1.97E-01,1.21E-01,1.33E+00
468.3,1.97E-01,1.22E-01,1.32E+00
468.4,1.96E-01,1.22E-01,1.32E+00
468.5,1.95E-01,1.23E-01,1.31E+00
468.6,1.94E-01,1.23E-01,1.31E+00
468.7,1.93E-01,1.24E-01,1.31E+00
468.8,1.92E-01,1.24E-01,1.30E+00
468.9,1.91E-01,1.25E-01,1.30E+00
469,1.90E-01,1.25E-01,1.29E+00
469.1,1.89E-01,1.26E-01,1.29E+00
469.2,1.88E-01,1.26E-01,1.29E+00
469.3,1.87E-01,1.27E-01,1.28E+00
469.4,1.86E-01,1.27E-01,1.28E+00
469.5,1.86E-01,1.28E-01,1.27E+00
469.6,1.85E-01,1.28E-01,1.27E+00
469.7,1.84E-01,1.28E-01,1.26E+00
469.8,1.83E-01,1.29E-01,1.26E+00
469.9,1.82E-01,1.29E-01,1.26E+00
470,1.81E-01,1.30E-01,1.25E+00
470.1,1.80E-01,1.30E-01,1.25E+00
470.2,1.79E-01,1.31E-01,1.24E+00
470.3,1.78E-01,1.31E-01,1.24E+00
470.4,1.77E-01,1.32E-01,1.23E+00
470.5,1.76E-01,1.32E-01,1.23E+00
470.6,1.75E-01,1.33E-01,1.22E+00
470.7,1.74E-01,1.33E-01,1.22E+00
470.8,1.73E-01,1.34E-01,1.21E+00
470.9,1.72E-01,1.34E-01,1.21E+00
471,1.71E-01,1.35E-01,1.20E+00
471.1,1.70E-01,1.35E-01,1.20E+00
471.2,1.69E-01,1.36E-01,1.19E+00
471.3,1.68E-01,1.36E-01,1.19E+00
471.4,1.67E-01,1.37E-01,1.18E+00
471.5,1.66E-01,1.37E-01,1.18E+00
471.6,1.65E-01,1.37E-01,1.17E+00
471.7,1.64E-01,1.38E-01,1.17E+00
471.8,1.63E-01,1.38E-01,1.16E+00
471.9,1.61E-01,1.39E-01,1.16E+00
472,1.60E-01,1.39E-01,1.15E+00
472.1,1.59E-01,1.40E-01,1.15E+00
472.2,1.58E-01,1.40E-01,1.14E+00
472.3,1.57E-01,1.41E-01,1.14E+00
472.4,1.56E-01,1.41E-01,1.13E+00
472.5,1.55E-01,1.42E-01,1.13E+00
472.6,1.54E-01,1.42E-01,1.12E+00
472.7,1.53E-01,1.43E-01,1.12E+00
472.8,1.52E-01,1.43E-01,1.11E+00
472.9,1.51E-01,1.44E-01,1.11E+00
473,1.50E-01,1.44E-01,1.10E+00
473.1,1.49E-01,1.44E-01,1.10E+00
473.2,1.48E-01,1.45E-01,1.09E+00
473.3,1.47E-01,1.45E-01,1.09E+00
473.4,1.46E-01,1.46E-01,1.08E+00
473.5,1.45E-01,1.46E-01,1.08E+00
473.6,1.44E-01,1.47E-01,1.07E+00
473.7,1.43E-01,1.47E-01,1.07E+00
473.8,1.42E-01,1.48E-01,1.06E+00
473.9,1.41E-01,1.48E-01,1.06E+00
474,1.40E-01,1.49E-01,1.05E+00
474.1,1.39E-01,1.49E-01,1.05E+00
474.2,1.37E-01,1.50E-01,1.04E+00
474.3,1.36E-01,1.50E-01,1.04E+00
474.4,1.35E-01,1.51E-01,1.03E+00
474.5,1.34E-01,1.51E-01,1.03E+00
474.6,1.33E-01,1.52E-01,1.02E+00
474.7,1.32E-01,1.52E-01,1.01E+00
474.8,1.31E-01,1.53E-01,1.01E+00
474.9,1.30E-01,1.53E-01,1.00E+00
475,1.29E-01,1.54E-01,9.99E-01
475.1,1.28E-01,1.54E-01,9.94E-01
475.2,1.27E-01,1.54E-01,9.89E-01
475.3,1.26E-01,1.55E-01,9.84E-01
475.4,1.25E-01,1.55E-01,9.78E-01
475.5,1.24E-01,1.56E-01,9.73E-01
475.6,1.23E-01,1.56E-01,9.68E-01
475.7,1.22E-01,1.57E-01,9.63E-01
475.8,1.21E-01,1.57E-01,9.58E-01
475.9,1.20E-01,1.58E-01,9.53E-01
476,1.19E-01,1.58E-01,9.47E-01
476.1,1.18E-01,1.59E-01,9.42E-01
476.2,1.17E-01,1.59E-01,9.37E-01
476.3,1.16E-01,1.60E-01,9.32E-01
476.4,1.15E-01,1.60E-01,9.27E-01
476.5,1.14E-01,1.61E-01,9.22E-01
476.6,1.13E-01,1.61E-01,9.17E-01
476.7,1.12E-01,1.62E-01,9.12E-01
476.8,1.11E-01,1.62E-01,9.07E-01
476.9,1.10E-01,1.63E-01,9.02E-01
477,1.09E-01,1.63E-01,8.97E-01
477.1,1.08E-01,1.64E-01,8.92E-01
477.2,1.07E-01,1.64E-01,8.87E-01
477.3,1.06E-01,1.65E-01,8.82E-01
477.4,1.05E-01,1.65E-01,8.77E-01
477.5,1.04E-01,1.66E-01,8.72E-01
477.6,1.03E-01,1.66E-01,8.67E-01
477.7,1.02E-01,1.67E-01,8.62E-01
477.8,1.01E-01,1.67E-01,8.57E-01
477.9,1.00E-01,1.68E-01,8.52E-01
478,9.95E-02,1.68E-01,8.47E-01
478.1,9.86E-02,1.69E-01,8.43E-01
478.2,9.77E-02,1.69E-01,8.38E-01
478.3,9.67E-02,1.70E-01,8.33E-01
478.4,9.58E-02,1.70E-01,8.28E-01
478.5,9.49E-02,1.71E-01,8.24E-01
478.6,9.40E-02,1.71E-01,8.19E-01
478.7,9.31E-02,1.72E-01,8.14E-01
478.8,9.22E-02,1.72E-01,8.09E-01
478.9,9.13E-02,1.73E-01,8.05E-01
479,9.04E-02,1.74E-01,8.00E-01
479.1,8.95E-02,1.74E-01,7.96E-01
479.2,8.87E-02,1.75E-01,7.91E-01
479.3,8.78E-02,1.75E-01,7.86E-01
479.4,8.69E-02,1.76E-01,7.82E-01
479.5,8.61E-02,1.76E-01,7.77E-01
479.6,8.52E-02,1.77E-01,7.73E-01
479.7,8.44E-02,1.77E-01,7.68E-01
479.8,8.35E-02,1.78E-01,7.64E-01
479.9,8.27E-02,1.78E-01,7.60E-01
480,8.18E-02,1.79E-01,7.55E-01
480.1,8.10E-02,1.79E-01,7.51E-01
480.2,8.02E-02,1.80E-01,7.47E-01
480.3,7.94E-02,1.80E-01,7.42E-01
480.4,7.85E-02,1.81E-01,7.38E-01
480.5,7.77E-02,1.81E-01,7.34E-01
480.6,7.69E-02,1.82E-01,7.29E-01
480.7,7.61E-02,1.83E-01,7.25E-01
480.8,7.53E-02,1.83E-01,7.21E-01
480.9,7.46E-02,1.84E-01,7.17E-01
481,7.38E-02,1.84E-01,7.13E-01
481.1,7.30E-02,1.85E-01,7.09E-01
481.2,7.22E-02,1.85E-01,7.05E-01
481.3,7.14E-02,1.86E-01,7.00E-01
481.4,7.07E-02,1.86E-01,6.96E-01
481.5,6.99E-02,1.87E-01,6.92E-01
481.6,6.92E-02,1.87E-01,6.88E-01
481.7,6.84E-02,1.88E-01,6.84E-01
481.8,6.77E-02,1.89E-01,6.80E-01
481.9,6.69E-02,1.89E-01,6.76E-01
482,6.62E-02,1.90E-01,6.73E-01
482.1,6.55E-02,1.90E-01,6.69E-01
482.2,6.47E-02,1.91E-01,6.65E-01
482.3,6.40E-02,1.91E-01,6.61E-01
482.4,6.33E-02,1.92E-01,6.57E-01
482.5,6.26E-02,1.92E-01,6.53E-01
482.6,6.19E-02,1.93E-01,6.49E-01
482.7,6.12E-02,1.94E-01,6.45E-01
482.8,6.05E-02,1.94E-01,6.42E-01
482.9,5.98E-02,1.95E-01,6.38E-01
483,5.91E-02,1.95E-01,6.34E-01
483.1,5.84E-02,1.96E-01,6.30E-01
483.2,5.77E-02,1.96E-01,6.27E-01
483.3,5.70E-02,1.97E-01,6.23E-01
483.4,5.63E-02,1.97E-01,6.19E-01
483.5,5.57E-02,1.98E-01,6.15E-01
483.6,5.50E-02,1.99E-01,6.12E-01
483.7,5.43E-02,1.99E-01,6.08E-01
483.8,5.37E-02,2.00E-01,6.05E-01
483.9,5.30E-02,2.00E-01,6.01E-01
484,5.23E-02,2.01E-01,5.97E-01
484.1,5.17E-02,2.01E-01,5.94E-01
484.2,5.10E-02,2.02E-01,5.90E-01
484.3,5.04E-02,2.03E-01,5.86E-01
484.4,4.98E-02,2.03E-01,5.83E-01
484.5,4.91E-02,2.04E-01,5.79E-01
484.6,4.85E-02,2.04E-01,5.76E-01
484.7,4.79E-02,2.05E-01,5.72E-01
484.8,4.72E-02,2.05E-01,5.69E-01
484.9,4.66E-02,2.06E-01,5.65E-01
485,4.60E-02,2.06E-01,5.62E-01
485.1,4.54E-02,2.07E-01,5.58E-01
485.2,4.48E-02,2.08E-01,5.55E-01
485.3,4.42E-02,2.08E-01,5.51E-01
485.4,4.36E-02,2.09E-01,5.48E-01
485.5,4.30E-02,2.09E-01,5.44E-01
485.6,4.24E-02,2.10E-01,5.41E-01
485.7,4.18E-02,2.10E-01,5.38E-01
485.8,4.12E-02,2.11E-01,5.34E-01
485.9,4.06E-02,2.12E-01,5.31E-01
486,4.01E-02,2.12E-01,5.27E-01
486.1,3.95E-02,2.13E-01,5.24E-01
486.2,3.89E-02,2.13E-01,5.21E-01
486.3,3.84E-02,2.14E-01,5.18E-01
486.4,3.78E-02,2.14E-01,5.14E-01
486.5,3.72E-02,2.15E-01,5.11E-01
486.6,3.67E-02,2.16E-01,5.08E-01
486.7,3.62E-02,2.16E-01,5.04E-01
486.8,3.56E-02,2.17E-01,5.01E-01
486.9,3.51E-02,2.17E-01,4.98E-01
487,3.45E-02,2.18E-01,4.95E-01
487.1,3.40E-02,2.19E-01,4.92E-01
487.2,3.35E-02,2.19E-01,4.89E-01
487.3,3.30E-02,2.20E-01,4.85E-01
487.4,3.25E-02,2.20E-01,4.82E-01
487.5,3.20E-02,2.21E-01,4.79E-01
487.6,3.15E-02,2.22E-01,4.76E-01
487.7,3.10E-02,2.22E-01,4.73E-01
487.8,3.05E-02,2.23E-01,4.70E-01
487.9,3.00E-02,2.24E-01,4.67E-01
488,2.95E-02,2.24E-01,4.64E-01
488.1,2.90E-02,2.25E-01,4.61E-01
488.2,2.85E-02,2.25E-01,4.58E-01
488.3,2.81E-02,2.26E-01,4.56E-01
488.4,2.76E-02,2.27E-01,4.53E-01
488.5,2.71E-02,2.27E-01,4.50E-01
488.6,2.67E-02,2.28E-01,4.47E-01
488.7,2.62E-02,2.29E-01,4.44E-01
488.8,2.58E-02,2.29E-01,4.41E-01
488.9,2.54E-02,2.30E-01,4.39E-01
489,2.49E-02,2.31E-01,4.36E-01
489.1,2.45E-02,2.31E-01,4.33E-01
489.2,2.41E-02,2.32E-01,4.30E-01
489.3,2.36E-02,2.33E-01,4.28E-01
489.4,2.32E-02,2.34E-01,4.25E-01
489.5,2.28E-02,2.34E-01,4.23E-01
489.6,2.24E-02,2.35E-01,4.20E-01
489.7,2.20E-02,2.36E-01,4.17E-01
489.8,2.16E-02,2.36E-01,4.15E-01
489.9,2.12E-02,2.37E-01,4.12E-01
490,2.08E-02,2.38E-01,4.10E-01
490.1,2.05E-02,2.39E-01,4.07E-01
490.2,2.01E-02,2.39E-01,4.05E-01
490.3,1.97E-02,2.40E-01,4.03E-01
490.4,1.93E-02,2.41E-01,4.00E-01
490.5,1.90E-02,2.42E-01,3.98E-01
490.6,1.86E-02,2.43E-01,3.96E-01
490.7,1.83E-02,2.43E-01,3.93E-01
490.8,1.79E-02,2.44E-01,3.91E-01
490.9,1.76E-02,2.45E-01,3.89E-01
491,1.72E-02,2.46E-01,3.86E-01
491.1,1.69E-02,2.47E-01,3.84E-01
491.2,1.66E-02,2.48E-01,3.82E-01
491.3,1.62E-02,2.48E-01,3.80E-01
491.4,1.59E-02,2.49E-01,3.78E-01
491.5,1.56E-02,2.50E-01,3.75E-01
491.6,1.53E-02,2.51E-01,3.73E-01
491.7,1.50E-02,2.52E-01,3.71E-01
491.8,1.47E-02,2.53E-01,3.69E-01
491.9,1.44E-02,2.54E-01,3.67E-01
492,1.41E-02,2.55E-01,3.65E-01
492.1,1.38E-02,2.56E-01,3.63E-01
492.2,1.35E-02,2.56E-01,3.61E-01
492.3,1.32E-02,2.57E-01,3.59E-01
492.4,1.29E-02,2.58E-01,3.57E-01
492.5,1.27E-02,2.59E-01,3.55E-01
492.6,1.24E-02,2.60E-01,3.53E-01
492.7,1.21E-02,2.61E-01,3.51E-01
492.8,1.19E-02,2.62E-01,3.49E-01
492.9,1.16E-02,2.63E-01,3.47E-01
493,1.13E-02,2.64E-01,3.45E-01
493.1,1.11E-02,2.65E-01,3.44E-01
493.2,1.08E-02,2.66E-01,3.42E-01
493.3,1.06E-02,2.67E-01,3.40E-01
493.4,1.04E-02,2.68E-01,3.38E-01
493.5,1.01E-02,2.69E-01,3.36E-01
493.6,9.90E-03,2.70E-01,3.34E-01
493.7,9.67E-03,2.71E-01,3.33E-01
493.8,9.45E-03,2.72E-01,3.31E-01
493.9,9.23E-03,2.73E-01,3.29E-01
494,9.02E-03,2.74E-01,3.27E-01
494.1,8.81E-03,2.75E-01,3.26E-01
494.2,8.60E-03,2.76E-01,3.24E-01
494.3,8.40E-03,2.77E-01,3.22E-01
494.4,8.20E-03,2.79E-01,3.21E-01
494.5,8.01E-03,2.80E-01,3.19E-01
494.6,7.82E-03,2.81E-01,3.17E-01
494.7,7.63E-03,2.82E-01,3.16E-01
494.8,7.45E-03,2.83E-01,3.14E-01
494.9,7.27E-03,2.84E-01,3.12E-01
495,7.10E-03,2.85E-01,3.11E-01
495.1,6.93E-03,2.86E-01,3.09E-01
495.2,6.76E-03,2.87E-01,3.07E-01
495.3,6.60E-03,2.88E-01,3.06E-01
495.4,6.44E-03,2.90E-01,3.04E-01
495.5,6.29E-03,2.91E-01,3.03E-01
495.6,6.14E-03,2.92E-01,3.01E-01
495.7,5.99E-03,2.93E-01,2.99E-01
495.8,5.85E-03,2.94E-01,2.98E-01
495.9,5.71E-03,2.95E-01,2.96E-01
496,5.57E-03,2.96E-01,2.95E-01
496.1,5.44E-03,2.98E-01,2.93E-01
496.2,5.31E-03,2.99E-01,2.92E-01
496.3,5.18E-03,3.00E-01,2.90E-01
496.4,5.06E-03,3.01E-01,2.89E-01
496.5,4.94E-03,3.02E-01,2.87E-01
496.6,4.83E-03,3.04E-01,2.86E-01
496.7,4.71E-03,3.05E-01,2.84E-01
496.8,4.60E-03,3.06E-01,2.83E-01
496.9,4.50E-03,3.07E-01,2.81E-01
497,4.39E-03,3.09E-01,2.80E-01
497.1,4.29E-03,3.10E-01,2.78E-01
497.2,4.20E-03,3.11E-01,2.77E-01
497.3,4.10E-03,3.12E-01,2.75E-01
497.4,4.01E-03,3.13E-01,2.74E-01
497.5,3.92E-03,3.15E-01,2.73E-01
497.6,3.83E-03,3.16E-01,2.71E-01
497.7,3.75E-03,3.17E-01,2.70E-01
497.8,3.67E-03,3.19E-01,2.68E-01
497.9,3.59E-03,3.20E-01,2.67E-01
498,3.52E-03,3.21E-01,2.65E-01
498.1,3.44E-03,3.22E-01,2.64E-01
498.2,3.37E-03,3.24E-01,2.63E-01
498.3,3.30E-03,3.25E-01,2.61E-01
498.4,3.24E-03,3.26E-01,2.60E-01
498.5,3.17E-03,3.28E-01,2.58E-01
498.6,3.11E-03,3.29E-01,2.57E-01
498.7,3.05E-03,3.30E-01,2.56E-01
498.8,3.00E-03,3.32E-01,2.54E-01
498.9,2.94E-03,3.33E-01,2.53E-01
499,2.89E-03,3.34E-01,2.51E-01
499.1,2.84E-03,3.36E-01,2.50E-01
499.2,2.79E-03,3.37E-01,2.49E-01
499.3,2.74E-03,3.39E-01,2.47E-01
499.4,2.70E-03,3.40E-01,2.46E-01
499.5,2.65E-03,3.41E-01,2.45E-01
499.6,2.61E-03,3.43E-01,2.43E-01
499.7,2.57E-03,3.44E-01,2.42E-01
499.8,2.53E-03,3.46E-01,2.40E-01
499.9,2.50E-03,3.47E-01,2.39E-01
500,2.46E-03,3.48E-01,2.38E-01
500.1,2.43E-03,3.50E-01,2.36E-01
500.2,2.40E-03,3.51E-01,2.35E-01
500.3,2.37E-03,3.53E-01,2.34E-01
500.4,2.34E-03,3.54E-01,2.32E-01
500.5,2.31E-03,3.56E-01,2.31E-01
500.6,2.29E-03,3.57E-01,2.30E-01
500.7,2.26E-03,3.59E-01,2.28E-01
500.8,2.24E-03,3.60E-01,2.27E-01
500.9,2.22E-03,3.61E-01,2.25E-01
501,2.21E-03,3.63E-01,2.24E-01
501.1,2.19E-03,3.64E-01,2.23E-01
501.2,2.18E-03,3.66E-01,2.21E-01
501.3,2.17E-03,3.67E-01,2.20E-01
501.4,2.16E-03,3.69E-01,2.19E-01
501.5,2.15E-03,3.71E-01,2.17E-01
501.6,2.15E-03,3.72E-01,2.16E-01
501.7,2.14E-03,3.74E-01,2.15E-01
501.8,2.14E-03,3.75E-01,2.13E-01
501.9,2.15E-03,3.77E-01,2.12E-01
502,2.15E-03,3.78E-01,2.11E-01
502.1,2.16E-03,3.80E-01,2.09E-01
502.2,2.17E-03,3.81E-01,2.08E-01
502.3,2.18E-03,3.83E-01,2.07E-01
