lambda nm,L,M
407.9,6.93E-03,6.85E-03
408,7.01E-03,6.94E-03
408.1,7.09E-03,7.02E-03
408.2,7.17E-03,7.11E-03
408.3,7.25E-03,7.20E-03
408.4,7.34E-03,7.29E-03
408.5,7.42E-03,7.38E-03
408.6,7.50E-03,7.47E-03
408.7,7.59E-03,7.56E-03
408.8,7.67E-03,7.65E-03
408.9,7.76E-03,7.74E-03
409,7.85E-03,7.83E-03
409.1,7.93E-03,7.92E-03
409.2,8.02E-03,8.02E-03
409.3,8.10E-03,8.11E-03
409.4,8.19E-03,8.21E-03
409.5,8.28E-03,8.30E-03
409.6,8.37E-03,8.40E-03
409.7,8.46E-03,8.50E-03
409.8,8.54E-03,8.60E-03
409.9,8.63E-03,8.69E-03
410,8.72E-03,8.79E-03
410.1,8.81E-03,8.89E-03
410.2,8.90E-03,8.99E-03
410.3,8.99E-03,9.09E-03
410.4,9.08E-03,9.20E-03
410.5,9.17E-03,9.30E-03
410.6,9.26E-03,9.40E-03
410.7,9.35E-03,9.50E-03
410.8,9.44E-03,9.61E-03
410.9,9.53E-03,9.71E-03
411,9.62E-03,9.82E-03
411.1,9.71E-03,9.92E-03
411.2,9.80E-03,1.00E-02
411.3,9.89E-03,1.01E-02
411.4,9.98E-03,1.02E-02
411.5,1.01E-02,1.04E-02
411.6,1.02E-02,1.05E-02
411.7,1.03E-02,1.06E-02
411.8,1.03E-02,1.07E-02
411.9,1.04E-02,1.08E-02
412,1.05E-02,1.09E-02
412.1,1.06E-02,1.10E-02
412.2,1.07E-02,1.11E-02
412.3,1.08E-02,1.12E-02
412.4,1.09E-02,1.14E-02
412.5,1.10E-02,1.15E-02
412.6,1.11E-02,1.16E-02
412.7,1.12E-02,1.17E-02
412.8,1.13E-02,1.18E-02
412.9,1.14E-02,1.19E-02
413,1.15E-02,1.21E-02
413.1,1.16E-02,1.22E-02
413.2,1.17E-02,1.23E-02
413.3,1.17E-02,1.24E-02
413.4,1.18E-02,1.25E-02
413.5,1.19E-02,1.26E-02
413.6,1.20E-02,1.28E-02
413.7,1.21E-02,1.29E-02
413.8,1.22E-02,1.30E-02
413.9,1.23E-02,1.31E-02
414,1.24E-02,1.33E-02
414.1,1.25E-02,1.34E-02
414.2,1.26E-02,1.35E-02
414.3,1.27E-02,1.36E-02
414.4,1.28E-02,1.38E-02
414.5,1.29E-02,1.39E-02
414.6,1.30E-02,1.40E-02
