lambda nm,L,M
468.2,9.26E-02,1.65E-01
468.3,9.30E-02,1.65E-01
468.4,9.34E-02,1.66E-01
468.5,9.38E-02,1.67E-01
468.6,9.41E-02,1.67E-01
468.7,9.45E-02,1.68E-01
468.8,9.49E-02,1.68E-01
468.9,9.53E-02,1.69E-01
469,9.57E-02,1.70E-01
469.1,9.60E-02,1.70E-01
469.2,9.64E-02,1.71E-01
469.3,9.68E-02,1.72E-01
469.4,9.72E-02,1.72E-01
469.5,9.76E-02,1.73E-01
469.6,9.80E-02,1.73E-01
469.7,9.83E-02,1.74E-01
469.8,9.87E-02,1.75E-01
469.9,9.91E-02,1.75E-01
470,9.95E-02,1.76E-01
470.1,9.99E-02,1.77E-01
470.2,1.00E-01,1.77E-01
470.3,1.01E-01,1.78E-01
470.4,1.01E-01,1.78E-01
470.5,1.01E-01,1.79E-01
470.6,1.02E-01,1.80E-01
470.7,1.02E-01,1.80E-01
470.8,1.03E-01,1.81E-01
470.9,1.03E-01,1.81E-01
471,1.03E-01,1.82E-01
471.1,1.04E-01,1.83E-01
471.2,1.04E-01,1.83E-01
471.3,1.04E-01,1.84E-01
471.4,1.05E-01,1.84E-01
471.5,1.05E-01,1.85E-01
471.6,1.06E-01,1.86E-01
471.7,1.06E-01,1.86E-01
471.8,1.06E-01,1.87E-01
471.9,1.07E-01,1.87E-01
472,1.07E-01,1.88E-01
472.1,1.07E-01,1.88E-01
472.2,1.08E-01,1.89E-01
472.3,1.08E-01,1.90E-01
472.4,1.09E-01,1.90E-01
472.5,1.09E-01,1.91E-01
472.6,1.09E-01,1.91E-01
472.7,1.10E-01,1.92E-01
472.8,1.10E-01,1.93E-01
472.9,1.11E-01,1.93E-01
473,1.11E-01,1.94E-01
473.1,1.11E-01,1.94E-01
473.2,1.12E-01,1.95E-01
473.3,1.12E-01,1.95E-01
473.4,1.12E-01,1.96E-01
473.5,1.13E-01,1.97E-01
473.6,1.13E-01,1.97E-01
473.7,1.14E-01,1.98E-01
473.8,1.14E-01,1.98E-01
473.9,1.14E-01,1.99E-01
474,1.15E-01,2.00E-01
474.1,1.15E-01,2.00E-01
474.2,1.16E-01,2.01E-01
474.3,1.16E-01,2.01E-01
474.4,1.16E-01,2.02E-01
474.5,1.17E-01,2.02E-01
474.6,1.17E-01,2.03E-01
474.7,1.18E-01,2.04E-01
474.8,1.18E-01,2.04E-01
474.9,1.18E-01,2.05E-01
475,1.19E-01,2.05E-01
475.1,1.19E-01,2.06E-01
475.2,1.20E-01,2.07E-01
475.3,1.20E-01,2.07E-01
475.4,1.20E-01,2.08E-01
475.5,1.21E-01,2.08E-01
475.6,1.21E-01,2.09E-01
475.7,1.22E-01,2.10E-01
475.8,1.22E-01,2.10E-01
475.9,1.22E-01,2.11E-01
476,1.23E-01,2.11E-01
476.1,1.23E-01,2.12E-01
476.2,1.24E-01,2.12E-01
476.3,1.24E-01,2.13E-01
476.4,1.25E-01,2.14E-01
476.5,1.25E-01,2.14E-01
476.6,1.25E-01,2.15E-01
476.7,1.26E-01,2.15E-01
476.8,1.26E-01,2.16E-01
476.9,1.27E-01,2.17E-01
477,1.27E-01,2.17E-01
477.1,1.27E-01,2.18E-01
477.2,1.28E-01,2.18E-01
477.3,1.28E-01,2.19E-01
477.4,1.29E-01,2.20E-01
477.5,1.29E-01,2.20E-01
477.6,1.30E-01,2.21E-01
477.7,1.30E-01,2.22E-01
477.8,1.30E-01,2.22E-01
477.9,1.31E-01,2.23E-01
478,1.31E-01,2.23E-01
478.1,1.32E-01,2.24E-01
478.2,1.32E-01,2.25E-01
478.3,1.33E-01,2.25E-01
478.4,1.33E-01,2.26E-01
478.5,1.33E-01,2.26E-01
478.6,1.34E-01,2.27E-01
478.7,1.34E-01,2.28E-01
478.8,1.35E-01,2.28E-01
478.9,1.35E-01,2.29E-01
479,1.36E-01,2.30E-01
479.1,1.36E-01,2.30E-01
479.2,1.37E-01,2.31E-01
479.3,1.37E-01,2.31E-01
479.4,1.37E-01,2.32E-01
479.5,1.38E-01,2.33E-01
479.6,1.38E-01,2.33E-01
479.7,1.39E-01,2.34E-01
479.8,1.39E-01,2.34E-01
479.9,1.40E-01,2.35E-01
480,1.40E-01,2.36E-01
480.1,1.41E-01,2.36E-01
480.2,1.41E-01,2.37E-01
480.3,1.42E-01,2.38E-01
480.4,1.42E-01,2.38E-01
480.5,1.42E-01,2.39E-01
480.6,1.43E-01,2.40E-01
480.7,1.43E-01,2.40E-01
480.8,1.44E-01,2.41E-01
480.9,1.44E-01,2.41E-01
481,1.45E-01,2.42E-01
481.1,1.45E-01,2.43E-01
481.2,1.46E-01,2.43E-01
481.3,1.46E-01,2.44E-01
481.4,1.47E-01,2.45E-01
481.5,1.47E-01,2.45E-01
481.6,1.48E-01,2.46E-01
481.7,1.48E-01,2.47E-01
481.8,1.48E-01,2.47E-01
481.9,1.49E-01,2.48E-01
482,1.49E-01,2.49E-01
482.1,1.50E-01,2.49E-01
482.2,1.50E-01,2.50E-01
482.3,1.51E-01,2.50E-01
482.4,1.51E-01,2.51E-01
482.5,1.52E-01,2.52E-01
482.6,1.52E-01,2.52E-01
482.7,1.53E-01,2.53E-01
482.8,1.53E-01,2.54E-01
482.9,1.54E-01,2.54E-01
483,1.54E-01,2.55E-01
483.1,1.55E-01,2.56E-01
483.2,1.55E-01,2.56E-01
483.3,1.56E-01,2.57E-01
483.4,1.56E-01,2.58E-01
483.5,1.57E-01,2.58E-01
483.6,1.57E-01,2.59E-01
483.7,1.58E-01,2.60E-01
483.8,1.58E-01,2.60E-01
483.9,1.59E-01,2.61E-01
484,1.59E-01,2.62E-01
484.1,1.60E-01,2.62E-01
484.2,1.60E-01,2.63E-01
484.3,1.61E-01,2.64E-01
484.4,1.61E-01,2.64E-01
484.5,1.61E-01,2.65E-01
484.6,1.62E-01,2.65E-01
484.7,1.62E-01,2.66E-01
484.8,1.63E-01,2.67E-01
484.9,1.63E-01,2.67E-01
485,1.64E-01,2.68E-01
485.1,1.64E-01,2.69E-01
485.2,1.65E-01,2.69E-01
485.3,1.65E-01,2.70E-01
485.4,1.66E-01,2.71E-01
485.5,1.66E-01,2.71E-01
485.6,1.67E-01,2.72E-01
485.7,1.67E-01,2.73E-01
485.8,1.68E-01,2.73E-01
485.9,1.68E-01,2.74E-01
486,1.69E-01,2.75E-01
486.1,1.69E-01,2.75E-01
486.2,1.70E-01,2.76E-01
486.3,1.70E-01,2.77E-01
486.4,1.71E-01,2.77E-01
486.5,1.71E-01,2.78E-01
486.6,1.72E-01,2.79E-01
486.7,1.73E-01,2.79E-01
486.8,1.73E-01,2.80E-01
486.9,1.74E-01,2.81E-01
487,1.74E-01,2.81E-01
487.1,1.75E-01,2.82E-01
487.2,1.75E-01,2.83E-01
487.3,1.76E-01,2.83E-01
487.4,1.76E-01,2.84E-01
487.5,1.77E-01,2.85E-01
487.6,1.77E-01,2.85E-01
487.7,1.78E-01,2.86E-01
487.8,1.78E-01,2.87E-01
487.9,1.79E-01,2.87E-01
488,1.79E-01,2.88E-01
488.1,1.80E-01,2.89E-01
488.2,1.81E-01,2.90E-01
488.3,1.81E-01,2.90E-01
488.4,1.82E-01,2.91E-01
488.5,1.82E-01,2.92E-01
488.6,1.83E-01,2.92E-01
488.7,1.83E-01,2.93E-01
488.8,1.84E-01,2.94E-01
488.9,1.85E-01,2.95E-01
489,1.85E-01,2.96E-01
489.1,1.86E-01,2.96E-01
489.2,1.86E-01,2.97E-01
489.3,1.87E-01,2.98E-01
489.4,1.88E-01,2.99E-01
489.5,1.88E-01,2.99E-01
489.6,1.89E-01,3.00E-01
489.7,1.90E-01,3.01E-01
489.8,1.90E-01,3.02E-01
489.9,1.91E-01,3.03E-01
490,1.92E-01,3.04E-01
490.1,1.92E-01,3.04E-01
490.2,1.93E-01,3.05E-01
490.3,1.94E-01,3.06E-01
490.4,1.94E-01,3.07E-01
490.5,1.95E-01,3.08E-01
490.6,1.96E-01,3.09E-01
490.7,1.96E-01,3.10E-01
490.8,1.97E-01,3.11E-01
490.9,1.98E-01,3.12E-01
491,1.99E-01,3.13E-01
491.1,1.99E-01,3.14E-01
491.2,2.00E-01,3.15E-01
491.3,2.01E-01,3.16E-01
491.4,2.02E-01,3.17E-01
491.5,2.02E-01,3.17E-01
491.6,2.03E-01,3.18E-01
491.7,2.04E-01,3.19E-01
491.8,2.05E-01,3.21E-01
491.9,2.05E-01,3.22E-01
492,2.06E-01,3.23E-01
492.1,2.07E-01,3.24E-01
492.2,2.08E-01,3.25E-01
492.3,2.09E-01,3.26E-01
492.4,2.09E-01,3.27E-01
492.5,2.10E-01,3.28E-01
492.6,2.11E-01,3.29E-01
492.7,2.12E-01,3.30E-01
492.8,2.13E-01,3.31E-01
492.9,2.14E-01,3.32E-01
493,2.14E-01,3.33E-01
493.1,2.15E-01,3.34E-01
493.2,2.16E-01,3.36E-01
493.3,2.17E-01,3.37E-01
493.4,2.18E-01,3.38E-01
493.5,2.19E-01,3.39E-01
493.6,2.20E-01,3.40E-01
493.7,2.21E-01,3.41E-01
493.8,2.22E-01,3.42E-01
493.9,2.22E-01,3.44E-01
494,2.23E-01,3.45E-01
494.1,2.24E-01,3.46E-01
494.2,2.25E-01,3.47E-01
494.3,2.26E-01,3.48E-01
494.4,2.27E-01,3.50E-01
494.5,2.28E-01,3.51E-01
494.6,2.29E-01,3.52E-01
494.7,2.30E-01,3.53E-01
494.8,2.31E-01,3.55E-01
494.9,2.32E-01,3.56E-01
495,2.33E-01,3.57E-01
495.1,2.34E-01,3.58E-01
495.2,2.35E-01,3.60E-01
495.3,2.36E-01,3.61E-01
495.4,2.37E-01,3.62E-01
495.5,2.38E-01,3.63E-01
495.6,2.39E-01,3.65E-01
495.7,2.40E-01,3.66E-01
495.8,2.41E-01,3.67E-01
495.9,2.42E-01,3.69E-01
496,2.43E-01,3.70E-01
496.1,2.44E-01,3.71E-01
496.2,2.45E-01,3.73E-01
496.3,2.46E-01,3.74E-01
496.4,2.47E-01,3.75E-01
496.5,2.48E-01,3.77E-01
496.6,2.49E-01,3.78E-01
496.7,2.50E-01,3.79E-01
496.8,2.51E-01,3.81E-01
496.9,2.53E-01,3.82E-01
497,2.54E-01,3.83E-01
497.1,2.55E-01,3.85E-01
497.2,2.56E-01,3.86E-01
497.3,2.57E-01,3.88E-01
497.4,2.58E-01,3.89E-01
497.5,2.59E-01,3.90E-01
497.6,2.60E-01,3.92E-01
497.7,2.61E-01,3.93E-01
497.8,2.63E-01,3.95E-01
497.9,2.64E-01,3.96E-01
498,2.65E-01,3.97E-01
498.1,2.66E-01,3.99E-01
498.2,2.67E-01,4.00E-01
498.3,2.68E-01,4.02E-01
498.4,2.69E-01,4.03E-01
498.5,2.71E-01,4.05E-01
498.6,2.72E-01,4.06E-01
498.7,2.73E-01,4.08E-01
498.8,2.74E-01,4.09E-01
498.9,2.75E-01,4.11E-01
499,2.77E-01,4.12E-01
499.1,2.78E-01,4.14E-01
499.2,2.79E-01,4.15E-01
499.3,2.80E-01,4.17E-01
499.4,2.81E-01,4.18E-01
499.5,2.83E-01,4.20E-01
499.6,2.84E-01,4.21E-01
499.7,2.85E-01,4.23E-01
499.8,2.86E-01,4.25E-01
499.9,2.88E-01,4.26E-01
500,2.89E-01,4.28E-01
500.1,2.90E-01,4.29E-01
500.2,2.92E-01,4.31E-01
500.3,2.93E-01,4.33E-01
500.4,2.94E-01,4.34E-01
500.5,2.95E-01,4.36E-01
500.6,2.97E-01,4.37E-01
500.7,2.98E-01,4.39E-01
500.8,2.99E-01,4.41E-01
500.9,3.01E-01,4.42E-01
501,3.02E-01,4.44E-01
501.1,3.03E-01,4.46E-01
501.2,3.05E-01,4.47E-01
501.3,3.06E-01,4.49E-01
501.4,3.07E-01,4.51E-01
501.5,3.09E-01,4.52E-01
501.6,3.10E-01,4.54E-01
501.7,3.11E-01,4.56E-01
501.8,3.13E-01,4.58E-01
501.9,3.14E-01,4.59E-01
502,3.16E-01,4.61E-01
502.1,3.17E-01,4.63E-01
502.2,3.18E-01,4.64E-01
502.3,3.20E-01,4.66E-01
502.4,3.21E-01,4.68E-01
502.5,3.23E-01,4.70E-01
502.6,3.24E-01,4.71E-01
502.7,3.25E-01,4.73E-01
502.8,3.27E-01,4.75E-01
502.9,3.28E-01,4.77E-01
503,3.30E-01,4.79E-01
503.1,3.31E-01,4.80E-01
503.2,3.33E-01,4.82E-01
503.3,3.34E-01,4.84E-01
503.4,3.36E-01,4.86E-01
503.5,3.37E-01,4.88E-01
503.6,3.38E-01,4.89E-01
503.7,3.40E-01,4.91E-01
503.8,3.41E-01,4.93E-01
503.9,3.43E-01,4.95E-01
504,3.44E-01,4.97E-01
504.1,3.46E-01,4.99E-01
504.2,3.47E-01,5.01E-01
504.3,3.49E-01,5.02E-01
504.4,3.50E-01,5.04E-01
504.5,3.52E-01,5.06E-01
504.6,3.54E-01,5.08E-01
504.7,3.55E-01,5.10E-01
504.8,3.57E-01,5.12E-01
504.9,3.58E-01,5.14E-01
505,3.60E-01,5.16E-01
505.1,3.61E-01,5.17E-01
505.2,3.63E-01,5.19E-01
505.3,3.64E-01,5.21E-01
505.4,3.66E-01,5.23E-01
505.5,3.68E-01,5.25E-01
505.6,3.69E-01,5.27E-01
505.7,3.71E-01,5.29E-01
505.8,3.72E-01,5.31E-01
505.9,3.74E-01,5.33E-01
506,3.76E-01,5.35E-01
506.1,3.77E-01,5.37E-01
506.2,3.79E-01,5.39E-01
506.3,3.80E-01,5.41E-01
506.4,3.82E-01,5.43E-01
506.5,3.84E-01,5.45E-01
506.6,3.85E-01,5.47E-01
506.7,3.87E-01,5.49E-01
506.8,3.89E-01,5.51E-01
506.9,3.90E-01,5.53E-01
507,3.92E-01,5.55E-01
507.1,3.94E-01,5.57E-01
507.2,3.95E-01,5.59E-01
507.3,3.97E-01,5.61E-01
507.4,3.99E-01,5.63E-01
507.5,4.00E-01,5.65E-01
507.6,4.02E-01,5.67E-01
507.7,4.04E-01,5.69E-01
507.8,4.05E-01,5.71E-01
507.9,4.07E-01,5.73E-01
508,4.09E-01,5.75E-01
508.1,4.10E-01,5.77E-01
508.2,4.12E-01,5.79E-01
508.3,4.14E-01,5.81E-01
508.4,4.16E-01,5.83E-01
508.5,4.17E-01,5.85E-01
508.6,4.19E-01,5.87E-01
508.7,4.21E-01,5.89E-01
508.8,4.23E-01,5.91E-01
508.9,4.24E-01,5.93E-01
509,4.26E-01,5.95E-01
509.1,4.28E-01,5.97E-01
509.2,4.30E-01,5.99E-01
509.3,4.31E-01,6.01E-01
509.4,4.33E-01,6.03E-01
509.5,4.35E-01,6.05E-01
509.6,4.37E-01,6.07E-01
509.7,4.38E-01,6.09E-01
509.8,4.40E-01,6.11E-01
509.9,4.42E-01,6.13E-01
510,4.44E-01,6.16E-01
510.1,4.45E-01,6.18E-01
510.2,4.47E-01,6.20E-01
510.3,4.49E-01,6.22E-01
510.4,4.51E-01,6.24E-01
510.5,4.53E-01,6.26E-01
510.6,4.54E-01,6.28E-01
510.7,4.56E-01,6.30E-01
510.8,4.58E-01,6.32E-01
510.9,4.60E-01,6.34E-01
511,4.62E-01,6.36E-01
511.1,4.64E-01,6.38E-01
511.2,4.65E-01,6.40E-01
511.3,4.67E-01,6.42E-01
511.4,4.69E-01,6.44E-01
511.5,4.71E-01,6.47E-01
511.6,4.73E-01,6.49E-01
511.7,4.75E-01,6.51E-01
511.8,4.76E-01,6.53E-01
511.9,4.78E-01,6.55E-01
512,4.80E-01,6.57E-01
512.1,4.82E-01,6.59E-01
512.2,4.84E-01,6.61E-01
512.3,4.86E-01,6.63E-01
512.4,4.88E-01,6.65E-01
512.5,4.89E-01,6.67E-01
512.6,4.91E-01,6.69E-01
512.7,4.93E-01,6.71E-01
512.8,4.95E-01,6.73E-01
512.9,4.97E-01,6.76E-01
513,4.99E-01,6.78E-01
513.1,5.01E-01,6.80E-01
513.2,5.02E-01,6.82E-01
513.3,5.04E-01,6.84E-01
513.4,5.06E-01,6.86E-01
513.5,5.08E-01,6.88E-01
513.6,5.10E-01,6.90E-01
513.7,5.12E-01,6.92E-01
513.8,5.14E-01,6.94E-01
513.9,5.16E-01,6.96E-01
514,5.18E-01,6.98E-01
514.1,5.19E-01,7.00E-01
514.2,5.21E-01,7.03E-01
514.3,5.23E-01,7.05E-01
514.4,5.25E-01,7.07E-01
514.5,5.27E-01,7.09E-01
514.6,5.29E-01,7.11E-01
514.7,5.31E-01,7.13E-01
514.8,5.33E-01,7.15E-01
514.9,5.35E-01,7.17E-01
515,5.36E-01,7.19E-01
515.1,5.38E-01,7.21E-01
515.2,5.40E-01,7.23E-01
515.3,5.42E-01,7.25E-01
515.4,5.44E-01,7.27E-01
515.5,5.46E-01,7.30E-01
515.6,5.48E-01,7.32E-01
515.7,5.50E-01,7.34E-01
515.8,5.52E-01,7.36E-01
515.9,5.54E-01,7.38E-01
516,5.55E-01,7.40E-01
516.1,5.57E-01,7.42E-01
516.2,5.59E-01,7.44E-01
516.3,5.61E-01,7.46E-01
516.4,5.63E-01,7.48E-01
516.5,5.65E-01,7.50E-01
516.6,5.67E-01,7.52E-01
516.7,5.69E-01,7.54E-01
516.8,5.71E-01,7.56E-01
516.9,5.73E-01,7.58E-01
517,5.74E-01,7.60E-01
517.1,5.76E-01,7.62E-01
517.2,5.78E-01,7.64E-01
517.3,5.80E-01,7.66E-01
517.4,5.82E-01,7.68E-01
517.5,5.84E-01,7.70E-01
517.6,5.86E-01,7.72E-01
517.7,5.87E-01,7.74E-01
517.8,5.89E-01,7.76E-01
517.9,5.91E-01,7.78E-01
518,5.93E-01,7.80E-01
518.1,5.95E-01,7.82E-01
518.2,5.97E-01,7.84E-01
518.3,5.98E-01,7.86E-01
518.4,6.00E-01,7.88E-01
518.5,6.02E-01,7.90E-01
518.6,6.04E-01,7.92E-01
518.7,6.06E-01,7.93E-01
518.8,6.08E-01,7.95E-01
518.9,6.09E-01,7.97E-01
519,6.11E-01,7.99E-01
519.1,6.13E-01,8.01E-01
519.2,6.15E-01,8.03E-01
519.3,6.16E-01,8.04E-01
519.4,6.18E-01,8.06E-01
519.5,6.20E-01,8.08E-01
519.6,6.22E-01,8.10E-01
519.7,6.23E-01,8.11E-01
519.8,6.25E-01,8.13E-01
519.9,6.27E-01,8.15E-01
520,6.29E-01,8.17E-01
520.1,6.30E-01,8.18E-01
520.2,6.32E-01,8.20E-01
520.3,6.34E-01,8.22E-01
520.4,6.35E-01,8.23E-01
520.5,6.37E-01,8.25E-01
520.6,6.39E-01,8.26E-01
520.7,6.40E-01,8.28E-01
520.8,6.42E-01,8.30E-01
520.9,6.44E-01,8.31E-01
521,6.45E-01,8.33E-01
521.1,6.47E-01,8.34E-01
521.2,6.48E-01,8.36E-01
521.3,6.50E-01,8.37E-01
521.4,6.52E-01,8.39E-01
521.5,6.53E-01,8.40E-01
521.6,6.55E-01,8.42E-01
521.7,6.56E-01,8.43E-01
521.8,6.58E-01,8.45E-01
521.9,6.59E-01,8.46E-01
522,6.61E-01,8.48E-01
522.1,6.62E-01,8.49E-01
522.2,6.64E-01,8.50E-01
522.3,6.65E-01,8.52E-01
522.4,6.67E-01,8.53E-01
522.5,6.69E-01,8.54E-01
522.6,6.70E-01,8.56E-01
522.7,6.72E-01,8.57E-01
522.8,6.73E-01,8.58E-01
522.9,6.75E-01,8.60E-01
523,6.76E-01,8.61E-01
523.1,6.77E-01,8.62E-01
523.2,6.79E-01,8.64E-01
523.3,6.80E-01,8.65E-01
523.4,6.82E-01,8.66E-01
523.5,6.83E-01,8.68E-01
523.6,6.85E-01,8.69E-01
523.7,6.86E-01,8.70E-01
523.8,6.88E-01,8.71E-01
523.9,6.89E-01,8.72E-01
524,6.91E-01,8.74E-01
524.1,6.92E-01,8.75E-01
524.2,6.93E-01,8.76E-01
524.3,6.95E-01,8.77E-01
524.4,6.96E-01,8.79E-01
524.5,6.98E-01,8.80E-01
524.6,6.99E-01,8.81E-01
524.7,7.00E-01,8.82E-01
524.8,7.02E-01,8.83E-01
524.9,7.03E-01,8.84E-01
525,7.05E-01,8.86E-01
525.1,7.06E-01,8.87E-01
525.2,7.08E-01,8.88E-01
525.3,7.09E-01,8.89E-01
525.4,7.10E-01,8.90E-01
525.5,7.12E-01,8.91E-01
525.6,7.13E-01,8.92E-01
525.7,7.15E-01,8.94E-01
525.8,7.16E-01,8.95E-01
525.9,7.17E-01,8.96E-01
526,7.19E-01,8.97E-01
526.1,7.20E-01,8.98E-01
526.2,7.21E-01,8.99E-01
526.3,7.23E-01,9.00E-01
526.4,7.24E-01,9.01E-01
526.5,7.26E-01,9.02E-01
526.6,7.27E-01,9.03E-01
526.7,7.28E-01,9.04E-01
526.8,7.30E-01,9.06E-01
526.9,7.31E-01,9.07E-01
527,7.32E-01,9.08E-01
527.1,7.34E-01,9.09E-01
527.2,7.35E-01,9.10E-01
527.3,7.36E-01,9.11E-01
527.4,7.38E-01,9.12E-01
527.5,7.39E-01,9.13E-01
527.6,7.40E-01,9.14E-01
527.7,7.42E-01,9.15E-01
527.8,7.43E-01,9.16E-01
527.9,7.44E-01,9.17E-01
528,7.46E-01,9.18E-01
528.1,7.47E-01,9.19E-01
528.2,7.48E-01,9.20E-01
528.3,7.50E-01,9.21E-01
528.4,7.51E-01,9.22E-01
528.5,7.52E-01,9.23E-01
528.6,7.53E-01,9.23E-01
528.7,7.55E-01,9.24E-01
528.8,7.56E-01,9.25E-01
528.9,7.57E-01,9.26E-01
529,7.58E-01,9.27E-01
529.1,7.60E-01,9.28E-01
529.2,7.61E-01,9.29E-01
529.3,7.62E-01,9.30E-01
529.4,7.63E-01,9.31E-01
529.5,7.65E-01,9.32E-01
529.6,7.66E-01,9.32E-01
529.7,7.67E-01,9.33E-01
529.8,7.68E-01,9.34E-01
529.9,7.69E-01,9.35E-01
530,7.71E-01,9.36E-01
530.1,7.72E-01,9.36E-01
530.2,7.73E-01,9.37E-01
530.3,7.74E-01,9.38E-01
530.4,7.75E-01,9.39E-01
530.5,7.76E-01,9.40E-01
530.6,7.78E-01,9.40E-01
530.7,7.79E-01,9.41E-01
530.8,7.80E-01,9.42E-01
530.9,7.81E-01,9.43E-01
531,7.82E-01,9.43E-01
531.1,7.83E-01,9.44E-01
531.2,7.84E-01,9.45E-01
531.3,7.86E-01,9.46E-01
531.4,7.87E-01,9.46E-01
531.5,7.88E-01,9.47E-01
531.6,7.89E-01,9.48E-01
531.7,7.90E-01,9.48E-01
531.8,7.91E-01,9.49E-01
531.9,7.92E-01,9.50E-01
532,7.93E-01,9.50E-01
532.1,7.94E-01,9.51E-01
532.2,7.95E-01,9.52E-01
532.3,7.97E-01,9.52E-01
532.4,7.98E-01,9.53E-01
532.5,7.99E-01,9.54E-01
532.6,8.00E-01,9.54E-01
532.7,8.01E-01,9.55E-01
532.8,8.02E-01,9.55E-01
532.9,8.03E-01,9.56E-01
533,8.04E-01,9.57E-01
533.1,8.05E-01,9.57E-01
533.2,8.06E-01,9.58E-01
533.3,8.07E-01,9.59E-01
533.4,8.08E-01,9.59E-01
533.5,8.09E-01,9.60E-01
533.6,8.11E-01,9.60E-01
533.7,8.12E-01,9.61E-01
533.8,8.13E-01,9.62E-01
533.9,8.14E-01,9.62E-01
534,8.15E-01,9.63E-01
534.1,8.16E-01,9.63E-01
534.2,8.17E-01,9.64E-01
534.3,8.18E-01,9.65E-01
534.4,8.19E-01,9.65E-01
534.5,8.20E-01,9.66E-01
534.6,8.21E-01,9.66E-01
534.7,8.22E-01,9.67E-01
534.8,8.24E-01,9.68E-01
534.9,8.25E-01,9.68E-01
535,8.26E-01,9.69E-01
535.1,8.27E-01,9.69E-01
535.2,8.28E-01,9.70E-01
535.3,8.29E-01,9.71E-01
535.4,8.30E-01,9.71E-01
535.5,8.31E-01,9.72E-01
535.6,8.32E-01,9.72E-01
535.7,8.34E-01,9.73E-01
535.8,8.35E-01,9.74E-01
535.9,8.36E-01,9.74E-01
536,8.37E-01,9.75E-01
536.1,8.38E-01,9.76E-01
536.2,8.39E-01,9.76E-01
536.3,8.40E-01,9.77E-01
536.4,8.41E-01,9.77E-01
536.5,8.43E-01,9.78E-01
536.6,8.44E-01,9.79E-01
536.7,8.45E-01,9.79E-01
536.8,8.46E-01,9.80E-01
536.9,8.47E-01,9.80E-01
537,8.48E-01,9.81E-01
537.1,8.49E-01,9.81E-01
537.2,8.51E-01,9.82E-01
537.3,8.52E-01,9.83E-01
537.4,8.53E-01,9.83E-01
537.5,8.54E-01,9.84E-01
537.6,8.55E-01,9.84E-01
537.7,8.56E-01,9.85E-01
537.8,8.57E-01,9.85E-01
537.9,8.59E-01,9.86E-01
538,8.60E-01,9.86E-01
538.1,8.61E-01,9.87E-01
538.2,8.62E-01,9.87E-01
538.3,8.63E-01,9.88E-01
538.4,8.64E-01,9.88E-01
538.5,8.65E-01,9.89E-01
538.6,8.66E-01,9.89E-01
538.7,8.67E-01,9.90E-01
538.8,8.69E-01,9.90E-01
538.9,8.70E-01,9.91E-01
539,8.71E-01,9.91E-01
539.1,8.72E-01,9.92E-01
539.2,8.73E-01,9.92E-01
539.3,8.74E-01,9.93E-01
539.4,8.75E-01,9.93E-01
539.5,8.76E-01,9.93E-01
539.6,8.77E-01,9.94E-01
539.7,8.78E-01,9.94E-01
539.8,8.79E-01,9.95E-01
539.9,8.80E-01,9.95E-01
540,8.81E-01,9.95E-01
540.1,8.82E-01,9.96E-01
540.2,8.83E-01,9.96E-01
540.3,8.84E-01,9.96E-01
540.4,8.85E-01,9.96E-01
540.5,8.86E-01,9.97E-01
540.6,8.87E-01,9.97E-01
540.7,8.88E-01,9.97E-01
540.8,8.89E-01,9.98E-01
540.9,8.90E-01,9.98E-01
541,8.90E-01,9.98E-01
541.1,8.91E-01,9.98E-01
541.2,8.92E-01,9.98E-01
541.3,8.93E-01,9.99E-01
541.4,8.94E-01,9.99E-01
541.5,8.95E-01,9.99E-01
541.6,8.96E-01,9.99E-01
541.7,8.97E-01,9.99E-01
541.8,8.97E-01,9.99E-01
541.9,8.98E-01,9.99E-01
542,8.99E-01,1.00E+00
542.1,9.00E-01,1.00E+00
542.2,9.01E-01,1.00E+00
542.3,9.01E-01,1.00E+00
542.4,9.02E-01,1.00E+00
542.5,9.03E-01,1.00E+00
542.6,9.04E-01,1.00E+00
542.7,9.04E-01,1.00E+00
542.8,9.05E-01,1.00E+00
542.9,9.06E-01,1.00E+00
543,9.07E-01,1.00E+00
543.1,9.07E-01,1.00E+00
543.2,9.08E-01,1.00E+00
543.3,9.09E-01,1.00E+00
543.4,9.09E-01,1.00E+00
543.5,9.10E-01,1.00E+00
543.6,9.11E-01,1.00E+00
543.7,9.11E-01,1.00E+00
543.8,9.12E-01,9.99E-01
543.9,9.13E-01,9.99E-01
544,9.13E-01,9.99E-01
544.1,9.14E-01,9.99E-01
544.2,9.15E-01,9.99E-01
544.3,9.15E-01,9.99E-01
544.4,9.16E-01,9.99E-01
544.5,9.16E-01,9.98E-01
544.6,9.17E-01,9.98E-01
544.7,9.17E-01,9.98E-01
544.8,9.18E-01,9.98E-01
544.9,9.19E-01,9.97E-01
545,9.19E-01,9.97E-01
545.1,9.20E-01,9.97E-01
545.2,9.20E-01,9.97E-01
545.3,9.21E-01,9.96E-01
545.4,9.21E-01,9.96E-01
545.5,9.22E-01,9.96E-01
545.6,9.22E-01,9.95E-01
545.7,9.23E-01,9.95E-01
545.8,9.23E-01,9.95E-01
545.9,9.23E-01,9.94E-01
546,9.24E-01,9.94E-01
546.1,9.24E-01,9.94E-01
546.2,9.25E-01,9.93E-01
546.3,9.25E-01,9.93E-01
546.4,9.26E-01,9.93E-01
546.5,9.26E-01,9.92E-01
546.6,9.26E-01,9.92E-01
