lambda nm,HbO2 cm-1/M,Hb cm-1/M,HbCR,HbO2CR
624,774,5906.8,0.002412274,0.016846868
626,707.6,5620,0.002218726,0.016126459
628,658.8,5366.8,0.002078336,0.01549423
630,610,5148.8,0.001936219,0.01495646
632,561.2,4930.8,0.001792343,0.01441202
634,512.4,4730.8,0.001646676,0.013913725
636,478.8,4602.4,0.001548337,0.013621078
638,460.4,4473.6,0.001498222,0.013323542
640,442,4345.2,0.00144747,0.01302342
642,423.6,4216.8,0.001396071,0.012719458
644,405.2,4088.4,0.001344011,0.01241158
646,390.4,3965.08,0.001303296,0.012115232
648,379.2,3857.6,0.001274147,0.011863732
650,368,3750.12,0.001244616,0.011608929
652,356.8,3642.64,0.001214695,0.011350757
654,345.6,3535.16,0.001184377,0.011089148
656,335.2,3427.68,0.001156414,0.010824035
658,325.6,3320.2,0.001130853,0.010555345
660,319.6,3226.56,0.001117534,0.010327304
662,314,3140.28,0.001105441,0.010119864
664,308.4,3053.96,0.001093182,0.009909437
666,302.8,2967.68,0.001080754,0.009696225
668,298,2881.4,0.001071027,0.009480035
670,294,2795.12,0.00106406,0.009260807
672,290,2708.84,0.001056994,0.009038475
674,285.6,2627.64,0.00104836,0.008830044
676,282,2554.4,0.001042559,0.008645561
678,279.2,2481.16,0.001039654,0.008458409
680,277.6,2407.92,0.001041208,0.00826853
682,276,2334.68,0.001042784,0.008075865
684,274.4,2261.48,0.001044383,0.007880491
686,272.8,2188.24,0.001046006,0.007682065
688,274.4,2115,0.001060016,0.007480662
690,276,2051.96,0.001074236,0.007312564
692,277.6,2000.48,0.001088673,0.007183414
694,279.2,1949.04,0.00110333,0.007052426
696,282,1897.56,0.001122993,0.006919266
698,286,1846.08,0.001147777,0.00678403
700,290,1794.28,0.001172949,0.006645483
702,294,1741,0.001198519,0.006499217
704,298,1687.76,0.001224496,0.006350765
706,302.8,1634.48,0.001254204,0.006199774
708,308.4,1583.52,0.001287733,0.006055203
710,314,1540.48,0.001321808,0.005938801
712,319.6,1497.4,0.001356444,0.005820324
714,325.2,1454.36,0.001391655,0.005700033
716,332,1411.32,0.001432632,0.005577725
718,340,1368.28,0.001479522,0.005453348
720,348,1325.88,0.001527209,0.005329423
722,356,1285.16,0.001575714,0.005210177
724,364,1244.44,0.001625058,0.005088862
726,372.4,1203.68,0.001677065,0.004965259
728,381.2,1152.8,0.001731804,0.004797359
730,390,1102.2,0.001787515,0.004627643
732,398.8,1102.2,0.001844225,0.004669233
734,407.6,1102.2,0.00190196,0.004711578
736,418.8,1101.76,0.001972049,0.004752799
738,432.4,1100.48,0.002054835,0.004791125
740,446,1115.88,0.002139158,0.004903461
742,459.6,1161.64,0.002225064,0.005152577
744,473.2,1207.4,0.002312596,0.005406425
746,487.6,1266.04,0.002405749,0.00572337
748,502.8,1333.24,0.002504684,0.006085524
750,518,1405.24,0.002605549,0.006476884
752,533.2,1515.32,0.002708398,0.007053221
754,548.4,1541.76,0.002813291,0.00724786
756,562,1560.48,0.002912,0.007409763
758,574,1560.48,0.003004337,0.007485166
760,586,1548.52,0.003098565,0.007504162
762,598,1508.44,0.003194744,0.007385866
764,610,1459.56,0.003292934,0.007221547
766,622.8,1410.52,0.003397565,0.007052942
768,636.4,1361.32,0.003508841,0.006879912
770,650,1311.88,0.00362252,0.006701906
772,663.6,1262.44,0.003738681,0.006519999
774,677.2,1213,0.003857406,0.006334062
776,689.2,1163.56,0.003969565,0.006143958
778,699.6,1114.8,0.004074935,0.005953179
780,710,1075.44,0.004182711,0.0058088
782,720.4,1036.08,0.004292975,0.005661074
784,730.8,996.72,0.004405815,0.005509883
786,740,957.36,0.004514002,0.005355103
788,748,921.8,0.004617369,0.005218117
790,756,890.8,0.004723239,0.005103927
792,764,859.8,0.004831702,0.004986928
794,772,828.8,0.004942857,0.004867013
796,786.4,802.96,0.005098295,0.004774756
798,807.2,782.36,0.005299707,0.004711699
800,816,761.72,0.005426508,0.004646767
802,828,743.84,0.005578176,0.004597189
804,836,737.08,0.005706552,0.004615932
806,844,730.28,0.005838369,0.004634926
808,856,723.52,0.006001813,0.004654696
810,864,717.08,0.006141326,0.0046771
812,872,711.84,0.006284735,0.00470807
814,880,706.6,0.006432205,0.004739921
816,887.2,701.32,0.006577981,0.00477242
818,901.6,696.08,0.006782167,0.004806147
820,916,693.76,0.006992392,0.004861337
822,930.4,693.6,0.007208928,0.004933558
824,944.8,693.48,0.007432064,0.00500828
826,956.4,693.32,0.00763974,0.005085035
828,965.2,693.2,0.007831227,0.005164513
830,974,693.04,0.00802883,0.005246242
832,982.8,692.92,0.008232847,0.005330946
834,991.6,692.76,0.008443595,0.005418149
836,1001.2,692.64,0.008668339,0.005508612
838,1011.6,692.48,0.008907796,0.005601857
840,1022,692.36,0.009155564,0.005698687
842,1032.4,692.2,0.009412085,0.005798624
844,1042.8,691.96,0.00967783,0.005901495
846,1050,691.76,0.009923065,0.006008505
848,1054,691.52,0.010146641,0.006119178
850,1058,691.32,0.010378716,0.006234447
852,1062,691.08,0.010619782,0.006353845
854,1066,690.88,0.010870373,0.006478369
856,1072.8,690.64,0.011160193,0.006607565
858,1082.4,692.44,0.011491663,0.006762035
860,1092,694.32,0.011837054,0.00692384
862,1101.6,696.2,0.012197263,0.007092639
864,1111.2,698.04,0.012573265,0.007268478
