lambda nm,S
419.5,5.28E-01
419.6,5.32E-01
419.7,5.35E-01
419.8,5.38E-01
419.9,5.41E-01
420,5.44E-01
420.1,5.47E-01
420.2,5.50E-01
420.3,5.52E-01
420.4,5.55E-01
420.5,5.58E-01
420.6,5.61E-01
420.7,5.64E-01
420.8,5.67E-01
420.9,5.70E-01
421,5.72E-01
421.1,5.75E-01
421.2,5.78E-01
421.3,5.81E-01
421.4,5.83E-01
421.5,5.86E-01
421.6,5.89E-01
421.7,5.91E-01
421.8,5.94E-01
421.9,5.97E-01
422,5.99E-01
422.1,6.02E-01
422.2,6.04E-01
422.3,6.07E-01
422.4,6.10E-01
422.5,6.12E-01
422.6,6.15E-01
422.7,6.17E-01
422.8,6.20E-01
422.9,6.22E-01
423,6.25E-01
423.1,6.27E-01
423.2,6.30E-01
423.3,6.32E-01
423.4,6.35E-01
423.5,6.37E-01
423.6,6.40E-01
423.7,6.42E-01
423.8,6.45E-01
423.9,6.47E-01
424,6.50E-01
424.1,6.52E-01
424.2,6.55E-01
424.3,6.57E-01
424.4,6.59E-01
424.5,6.62E-01
424.6,6.64E-01
424.7,6.67E-01
424.8,6.69E-01
424.9,6.72E-01
425,6.74E-01
425.1,6.77E-01
425.2,6.80E-01
425.3,6.82E-01
425.4,6.85E-01
425.5,6.87E-01
425.6,6.90E-01
425.7,6.92E-01
425.8,6.95E-01
425.9,6.98E-01
426,7.00E-01
426.1,7.03E-01
426.2,7.05E-01
426.3,7.08E-01
426.4,7.11E-01
426.5,7.13E-01
426.6,7.16E-01
426.7,7.19E-01
426.8,7.21E-01
426.9,7.24E-01
427,7.26E-01
427.1,7.29E-01
427.2,7.32E-01
427.3,7.34E-01
427.4,7.37E-01
427.5,7.40E-01
427.6,7.42E-01
427.7,7.45E-01
427.8,7.48E-01
427.9,7.50E-01
428,7.53E-01
428.1,7.55E-01
428.2,7.58E-01
428.3,7.61E-01
428.4,7.63E-01
428.5,7.66E-01
428.6,7.68E-01
428.7,7.71E-01
428.8,7.73E-01
428.9,7.76E-01
429,7.78E-01
429.1,7.81E-01
429.2,7.83E-01
429.3,7.86E-01
429.4,7.88E-01
429.5,7.91E-01
429.6,7.93E-01
429.7,7.95E-01
429.8,7.98E-01
429.9,8.00E-01
430,8.03E-01
430.1,8.05E-01
430.2,8.07E-01
430.3,8.09E-01
430.4,8.12E-01
430.5,8.14E-01
430.6,8.16E-01
430.7,8.18E-01
430.8,8.21E-01
430.9,8.23E-01
431,8.25E-01
431.1,8.27E-01
431.2,8.29E-01
431.3,8.31E-01
431.4,8.33E-01
431.5,8.35E-01
431.6,8.37E-01
431.7,8.39E-01
431.8,8.41E-01
431.9,8.43E-01
432,8.45E-01
432.1,8.47E-01
432.2,8.49E-01
432.3,8.51E-01
432.4,8.53E-01
432.5,8.55E-01
432.6,8.57E-01
432.7,8.59E-01
432.8,8.61E-01
432.9,8.63E-01
433,8.65E-01
433.1,8.67E-01
433.2,8.69E-01
433.3,8.71E-01
433.4,8.73E-01
433.5,8.75E-01
433.6,8.76E-01
433.7,8.78E-01
433.8,8.80E-01
433.9,8.82E-01
434,8.84E-01
434.1,8.86E-01
434.2,8.88E-01
434.3,8.90E-01
434.4,8.92E-01
434.5,8.94E-01
434.6,8.96E-01
434.7,8.98E-01
434.8,9.00E-01
434.9,9.02E-01
435,9.04E-01
435.1,9.06E-01
435.2,9.08E-01
435.3,9.10E-01
435.4,9.12E-01
435.5,9.14E-01
435.6,9.16E-01
435.7,9.18E-01
435.8,9.20E-01
435.9,9.22E-01
436,9.24E-01
436.1,9.26E-01
436.2,9.28E-01
436.3,9.30E-01
436.4,9.32E-01
436.5,9.34E-01
436.6,9.36E-01
436.7,9.38E-01
436.8,9.40E-01
436.9,9.42E-01
437,9.44E-01
437.1,9.46E-01
437.2,9.48E-01
437.3,9.50E-01
437.4,9.52E-01
437.5,9.54E-01
437.6,9.56E-01
437.7,9.57E-01
437.8,9.59E-01
437.9,9.61E-01
438,9.63E-01
438.1,9.65E-01
438.2,9.66E-01
438.3,9.68E-01
438.4,9.70E-01
438.5,9.71E-01
438.6,9.73E-01
438.7,9.75E-01
438.8,9.76E-01
438.9,9.78E-01
439,9.79E-01
439.1,9.80E-01
439.2,9.82E-01
439.3,9.83E-01
439.4,9.84E-01
439.5,9.86E-01
439.6,9.87E-01
439.7,9.88E-01
439.8,9.89E-01
439.9,9.90E-01
440,9.91E-01
440.1,9.92E-01
440.2,9.93E-01
440.3,9.94E-01
440.4,9.94E-01
440.5,9.95E-01
440.6,9.96E-01
440.7,9.96E-01
440.8,9.97E-01
440.9,9.97E-01
441,9.98E-01
441.1,9.98E-01
441.2,9.99E-01
441.3,9.99E-01
441.4,9.99E-01
441.5,9.99E-01
441.6,1.00E+00
441.7,1.00E+00
441.8,1.00E+00
441.9,1.00E+00
442,1.00E+00
442.1,1.00E+00
442.2,1.00E+00
442.3,1.00E+00
442.4,1.00E+00
442.5,1.00E+00
442.6,1.00E+00
442.7,9.99E-01
442.8,9.99E-01
442.9,9.99E-01
443,9.99E-01
443.1,9.99E-01
443.2,9.98E-01
443.3,9.98E-01
443.4,9.98E-01
443.5,9.97E-01
443.6,9.97E-01
443.7,9.97E-01
443.8,9.96E-01
443.9,9.96E-01
444,9.96E-01
444.1,9.95E-01
444.2,9.95E-01
444.3,9.94E-01
444.4,9.94E-01
444.5,9.94E-01
444.6,9.93E-01
444.7,9.93E-01
444.8,9.92E-01
444.9,9.92E-01
445,9.92E-01
445.1,9.91E-01
445.2,9.91E-01
445.3,9.90E-01
445.4,9.90E-01
445.5,9.89E-01
445.6,9.89E-01
445.7,9.89E-01
445.8,9.88E-01
445.9,9.88E-01
446,9.87E-01
446.1,9.87E-01
446.2,9.87E-01
446.3,9.86E-01
446.4,9.86E-01
446.5,9.85E-01
446.6,9.85E-01
446.7,9.84E-01
446.8,9.84E-01
446.9,9.83E-01
447,9.83E-01
447.1,9.82E-01
447.2,9.82E-01
447.3,9.81E-01
447.4,9.80E-01
447.5,9.80E-01
447.6,9.79E-01
447.7,9.78E-01
447.8,9.78E-01
447.9,9.77E-01
448,9.76E-01
448.1,9.76E-01
448.2,9.75E-01
448.3,9.74E-01
448.4,9.73E-01
448.5,9.72E-01
448.6,9.71E-01
448.7,9.70E-01
448.8,9.70E-01
448.9,9.69E-01
449,9.68E-01
449.1,9.66E-01
449.2,9.65E-01
449.3,9.64E-01
449.4,9.63E-01
449.5,9.62E-01
449.6,9.61E-01
449.7,9.59E-01
449.8,9.58E-01
449.9,9.57E-01
450,9.55E-01
450.1,9.54E-01
450.2,9.53E-01
450.3,9.51E-01
450.4,9.49E-01
450.5,9.48E-01
450.6,9.46E-01
450.7,9.45E-01
450.8,9.43E-01
450.9,9.41E-01
451,9.39E-01
451.1,9.38E-01
451.2,9.36E-01
451.3,9.34E-01
451.4,9.32E-01
451.5,9.30E-01
451.6,9.29E-01
451.7,9.27E-01
451.8,9.25E-01
451.9,9.23E-01
452,9.21E-01
452.1,9.19E-01
452.2,9.17E-01
452.3,9.15E-01
452.4,9.13E-01
452.5,9.11E-01
452.6,9.09E-01
452.7,9.07E-01
452.8,9.05E-01
452.9,9.03E-01
453,9.01E-01
453.1,8.99E-01
453.2,8.96E-01
453.3,8.94E-01
453.4,8.92E-01
453.5,8.90E-01
453.6,8.88E-01
453.7,8.86E-01
453.8,8.84E-01
453.9,8.82E-01
454,8.80E-01
454.1,8.78E-01
454.2,8.76E-01
454.3,8.74E-01
454.4,8.72E-01
454.5,8.70E-01
454.6,8.68E-01
454.7,8.66E-01
454.8,8.64E-01
454.9,8.62E-01
455,8.60E-01
455.1,8.58E-01
455.2,8.56E-01
455.3,8.55E-01
455.4,8.53E-01
455.5,8.51E-01
455.6,8.49E-01
455.7,8.47E-01
455.8,8.46E-01
455.9,8.44E-01
456,8.42E-01
456.1,8.40E-01
456.2,8.39E-01
456.3,8.37E-01
456.4,8.35E-01
456.5,8.34E-01
456.6,8.32E-01
456.7,8.30E-01
456.8,8.29E-01
456.9,8.27E-01
457,8.26E-01
457.1,8.24E-01
457.2,8.22E-01
457.3,8.21E-01
457.4,8.19E-01
457.5,8.18E-01
457.6,8.17E-01
457.7,8.15E-01
457.8,8.14E-01
457.9,8.12E-01
458,8.11E-01
458.1,8.09E-01
458.2,8.08E-01
458.3,8.07E-01
458.4,8.05E-01
458.5,8.04E-01
458.6,8.03E-01
458.7,8.02E-01
458.8,8.00E-01
458.9,7.99E-01
459,7.98E-01
459.1,7.97E-01
459.2,7.96E-01
459.3,7.94E-01
459.4,7.93E-01
459.5,7.92E-01
459.6,7.91E-01
459.7,7.90E-01
459.8,7.89E-01
459.9,7.88E-01
460,7.87E-01
460.1,7.86E-01
460.2,7.85E-01
460.3,7.84E-01
460.4,7.83E-01
460.5,7.82E-01
460.6,7.81E-01
460.7,7.80E-01
460.8,7.79E-01
460.9,7.78E-01
461,7.77E-01
461.1,7.76E-01
461.2,7.75E-01
461.3,7.74E-01
461.4,7.74E-01
461.5,7.73E-01
461.6,7.72E-01
461.7,7.71E-01
461.8,7.70E-01
461.9,7.69E-01
462,7.68E-01
462.1,7.68E-01
462.2,7.67E-01
462.3,7.66E-01
462.4,7.65E-01
462.5,7.64E-01
462.6,7.63E-01
462.7,7.62E-01
462.8,7.61E-01
462.9,7.60E-01
463,7.60E-01
463.1,7.59E-01
463.2,7.58E-01
463.3,7.57E-01
463.4,7.56E-01
463.5,7.55E-01
463.6,7.54E-01
463.7,7.53E-01
463.8,7.52E-01
463.9,7.51E-01
464,7.50E-01
464.1,7.49E-01
464.2,7.48E-01
464.3,7.47E-01
464.4,7.45E-01
464.5,7.44E-01
464.6,7.43E-01
464.7,7.42E-01
464.8,7.41E-01
464.9,7.40E-01
465,7.38E-01
465.1,7.37E-01
465.2,7.36E-01
465.3,7.34E-01
465.4,7.33E-01
465.5,7.32E-01
465.6,7.30E-01
465.7,7.29E-01
465.8,7.27E-01
465.9,7.26E-01
466,7.24E-01
466.1,7.23E-01
466.2,7.21E-01
466.3,7.20E-01
466.4,7.18E-01
466.5,7.17E-01
466.6,7.15E-01
466.7,7.13E-01
466.8,7.12E-01
466.9,7.10E-01
467,7.08E-01
467.1,7.06E-01
467.2,7.05E-01
467.3,7.03E-01
467.4,7.01E-01
467.5,6.99E-01
467.6,6.97E-01
467.7,6.95E-01
467.8,6.93E-01
467.9,6.92E-01
468,6.90E-01
468.1,6.88E-01
468.2,6.86E-01
468.3,6.84E-01
468.4,6.82E-01
468.5,6.80E-01
468.6,6.77E-01
468.7,6.75E-01
468.8,6.73E-01
468.9,6.71E-01
469,6.69E-01
469.1,6.67E-01
469.2,6.65E-01
469.3,6.62E-01
469.4,6.60E-01
469.5,6.58E-01
469.6,6.56E-01
469.7,6.53E-01
469.8,6.51E-01
469.9,6.49E-01
470,6.46E-01
470.1,6.44E-01
470.2,6.42E-01
470.3,6.39E-01
470.4,6.37E-01
470.5,6.34E-01
470.6,6.32E-01
470.7,6.30E-01
470.8,6.27E-01
470.9,6.25E-01
471,6.22E-01
471.1,6.20E-01
471.2,6.17E-01
471.3,6.15E-01
471.4,6.12E-01
471.5,6.09E-01
471.6,6.07E-01
471.7,6.04E-01
471.8,6.02E-01
471.9,5.99E-01
472,5.97E-01
472.1,5.94E-01
472.2,5.91E-01
472.3,5.89E-01
472.4,5.86E-01
472.5,5.83E-01
472.6,5.81E-01
472.7,5.78E-01
472.8,5.76E-01
472.9,5.73E-01
473,5.70E-01
473.1,5.68E-01
473.2,5.65E-01
473.3,5.62E-01
473.4,5.60E-01
473.5,5.57E-01
473.6,5.54E-01
473.7,5.51E-01
473.8,5.49E-01
473.9,5.46E-01
474,5.43E-01
474.1,5.41E-01
474.2,5.38E-01
474.3,5.35E-01
474.4,5.33E-01
474.5,5.30E-01
474.6,5.27E-01
474.7,5.24E-01
474.8,5.22E-01
474.9,5.19E-01
475,5.16E-01
475.1,5.14E-01
475.2,5.11E-01
475.3,5.08E-01
475.4,5.06E-01
475.5,5.03E-01
475.6,5.00E-01
475.7,4.98E-01
475.8,4.95E-01
475.9,4.92E-01
476,4.90E-01
476.1,4.87E-01
476.2,4.84E-01
476.3,4.82E-01
476.4,4.79E-01
476.5,4.76E-01
476.6,4.74E-01
476.7,4.71E-01
476.8,4.69E-01
476.9,4.66E-01
477,4.63E-01
477.1,4.61E-01
477.2,4.58E-01
477.3,4.56E-01
477.4,4.53E-01
477.5,4.51E-01
477.6,4.48E-01
477.7,4.45E-01
